Year,farm_price,market_price,projected_price
1989,6.63,5.69,
1990,5.82,5.74,
1991,5.6,5.58,
1992,5.57,5.56,
1993,6.04,6.4,
1994,6.11,5.48,
1995,5.85,6.72,
1996,7.27,7.35,
1997,7.4,6.47,
1998,5.93,4.93,
1999,4.57,4.63,
2000,4.73,4.54,
2001,4.43,4.38,4.67
2002,4.93,5.53,4.5
2003,6.08,7.34,5.26
2004,7.56,5.74,6.72
2005,5.95,5.66,5.53
2006,5.65,6.43,6.18
2007,7.74,10.1,8.09
2008,11.31,9.97,13.36
2009,10.05,9.59,8.8
2010,9.97,11.3,9.23
2011,12.53,12.5,13.49
2012,13.96,14.4,12.55
2013,14.07,13,12.87
2014,12.47,10.1,11.36
2015,9.49,8.95,9.73
