Year,farm_price,market_price,projected_price
1989,2.434166667,2.36,
1990,2.398333333,2.28,
1991,2.329166667,2.37,
1992,2.285833333,2.07,
1993,2.216666667,2.5,
1994,2.409166667,2.26,
1995,2.5575,3.24,
1996,3.551666667,2.71,
1997,2.599166667,2.43,
1998,2.204166667,1.94,
1999,1.885,1.82,
2000,1.859166667,1.85,
2001,1.893333333,1.97,2.46
2002,2.130833333,2.32,2.32
2003,2.2675,2.42,2.42
2004,2.465,2.06,2.83
2005,1.964166667,2,2.32
2006,2.280833333,3.04,2.59
2007,3.390833333,4.2,4.06
2008,4.78,4.06,5.4
2009,3.745,3.55,4.04
2010,3.830833333,5.18,3.99
2011,6.015833333,6.22,6.01
2012,6.6725,6.89,5.68
2013,6.154166667,4.46,5.65
2014,4.1125,3.7,4.62
2015,3.705833333,3.61,4.15
