Year,farm_price,market_price,projected_price
1989,3.88,3.72,
1990,2.98,2.61,
1991,2.74,3,
1992,3.38,3.24,
1993,3.21,3.26,
1994,3.52,3.45,
1995,4.09,4.55,
1996,4.77,4.3,
1997,3.71,3.38,
1998,2.9,2.65,
1999,2.58,2.48,
2000,2.57,2.62,
2001,2.83,2.78,3.31
2002,3.41,3.56,3.34
2003,3.45,3.4,3.73
2004,3.57,3.4,3.4
2005,3.36,3.42,3.56
2006,4.03,4.26,3.52
2007,5.76,6.48,4.52
2008,8.02,6.78,5.88
2009,5.3,4.87,8.77
2010,5.12,5.7,5.42
2011,7.44,7.24,7.14
2012,7.6,7.77,8.62
2013,7.32,6.87,8.78
2014,6.33,5.99,7.02
2015,5.28,4.89,6.3
