Region_ID,Region_Name,Season,Scenario,Exposed_Area,Duration,Intensity_Ratio,,,
1,Northeast,Winter Wheat Season (Sep-Jun),Historical,1.494049108,26.54390404,0.932221067,,,
1,Northeast,Winter Wheat Season (Sep-Jun),atm45cooler_ssp3,0.211223461,12.66202846,0.545596321,,,
1,Northeast,Winter Wheat Season (Sep-Jun),atm45hotter_ssp3,0.249843352,14.59718831,0.682586353,,,
1,Northeast,Winter Wheat Season (Sep-Jun),atm85cooler_ssp5,0.226362013,14.15351474,0.603832764,,,
1,Northeast,Winter Wheat Season (Sep-Jun),atm85hotter_ssp5,0.218240339,13.75793952,0.679728362,,,
2,Southeast,Winter Wheat Season (Sep-Jun),Historical,4.735812089,26.18207003,0.760503798,,,
2,Southeast,Winter Wheat Season (Sep-Jun),atm45cooler_ssp3,2.222437838,18.87441672,0.686054894,,,
2,Southeast,Winter Wheat Season (Sep-Jun),atm45hotter_ssp3,2.367077399,23.3828982,0.780137946,,,
2,Southeast,Winter Wheat Season (Sep-Jun),atm85cooler_ssp5,2.382143836,25.37441061,0.838200194,,,
2,Southeast,Winter Wheat Season (Sep-Jun),atm85hotter_ssp5,2.365228477,27.48269975,0.902486496,,,
4,Midwest,Winter Wheat Season (Sep-Jun),Historical,9.244590783,26.59494428,0.958670864,,,
4,Midwest,Winter Wheat Season (Sep-Jun),atm45cooler_ssp3,3.658421498,18.068394,0.897190102,,,
4,Midwest,Winter Wheat Season (Sep-Jun),atm45hotter_ssp3,3.850644519,23.26100632,1.144093549,,,
4,Midwest,Winter Wheat Season (Sep-Jun),atm85cooler_ssp5,3.308303991,19.81238548,1.004413406,,,
4,Midwest,Winter Wheat Season (Sep-Jun),atm85hotter_ssp5,3.735657842,23.50695103,1.234698027,,,
5,N. Great Plains,Winter Wheat Season (Sep-Jun),Historical,29.43272423,26.89937295,0.947446681,,,
5,N. Great Plains,Winter Wheat Season (Sep-Jun),atm45cooler_ssp3,27.91258703,30.34782238,1.418322976,,,
5,N. Great Plains,Winter Wheat Season (Sep-Jun),atm45hotter_ssp3,26.80372276,27.45781216,1.430627381,,,
5,N. Great Plains,Winter Wheat Season (Sep-Jun),atm85cooler_ssp5,27.30137813,27.87606919,1.408223406,,,
5,N. Great Plains,Winter Wheat Season (Sep-Jun),atm85hotter_ssp5,27.33123516,25.54230245,1.424909085,,,
6,S. Great Plains,Winter Wheat Season (Sep-Jun),Historical,23.39295972,27.47064479,0.874631256,,,
6,S. Great Plains,Winter Wheat Season (Sep-Jun),atm45cooler_ssp3,27.68512861,26.44238625,1.097650908,,,
6,S. Great Plains,Winter Wheat Season (Sep-Jun),atm45hotter_ssp3,28.65773516,31.48149755,1.214979738,,,
6,S. Great Plains,Winter Wheat Season (Sep-Jun),atm85cooler_ssp5,29.59589314,30.03581246,1.181530382,,,
6,S. Great Plains,Winter Wheat Season (Sep-Jun),atm85hotter_ssp5,30.09945415,34.2355041,1.308441301,,,
7,Southwest,Winter Wheat Season (Sep-Jun),Historical,3.759305237,26.53170076,0.804716546,,,
7,Southwest,Winter Wheat Season (Sep-Jun),atm45cooler_ssp3,7.564181608,40.93885164,1.503542005,,,
7,Southwest,Winter Wheat Season (Sep-Jun),atm45hotter_ssp3,7.509148731,44.03940194,1.569324803,,,
7,Southwest,Winter Wheat Season (Sep-Jun),atm85cooler_ssp5,6.852097463,39.31708261,1.463738375,,,
7,Southwest,Winter Wheat Season (Sep-Jun),atm85hotter_ssp5,7.006717703,42.67732102,1.503511133,,,
8,Northwest,Winter Wheat Season (Sep-Jun),Historical,5.755290478,26.75121622,0.936056164,,,
8,Northwest,Winter Wheat Season (Sep-Jun),atm45cooler_ssp3,11.02582675,42.44843139,1.950179599,,,
8,Northwest,Winter Wheat Season (Sep-Jun),atm45hotter_ssp3,11.98972331,41.87817375,1.976486036,,,
8,Northwest,Winter Wheat Season (Sep-Jun),atm85cooler_ssp5,10.21629382,42.76694419,1.939259315,,,
8,Northwest,Winter Wheat Season (Sep-Jun),atm85hotter_ssp5,10.55301314,38.70980615,1.88645274,,,
9999,CONUS,Winter Wheat Season (Sep-Jun),Historical,77.91102981,26.94148336,0.904793563,,,
9999,CONUS,Winter Wheat Season (Sep-Jun),atm45cooler_ssp3,80.31392632,29.82498919,1.305855198,0.030841545,0.107028473,0.443263138
9999,CONUS,Winter Wheat Season (Sep-Jun),atm45hotter_ssp3,81.4632537,31.41512901,1.383745433,0.045593338,0.166050458,0.529349333
9999,CONUS,Winter Wheat Season (Sep-Jun),atm85cooler_ssp5,79.91126566,30.25446754,1.32939684,0.025673334,0.122969628,0.469281937
9999,CONUS,Winter Wheat Season (Sep-Jun),atm85hotter_ssp5,81.33867527,31.20097192,1.401586326,0.043994354,0.158101486,0.549067525
