Unnamed: 0,Year,state_id,Production_Loss(ton),Area_Loss(km^2),State_Code,State_Name,Price,Financial_Loss($)
0,2021,0,296153.0700352836,1922.111645462733,AL,ALABAMA,0.1469992,43534264.372730665
1,2021,2,0.0,0.0,AZ,ARIZONA,0.1469992,0.0
2,2021,3,164017.28570543736,6434.19015654989,AR,ARKANSAS,0.1469992,24110409.78487073
3,2021,4,0.0,0.0,CA,CALIFORNIA,0.1469992,0.0
4,2021,5,73252.16884716548,1854.9463002356056,CO,COLORADO,0.1469992,10768010.218798248
5,2021,6,0.0,0.0,CT,CONNECTICUT,0.1469992,0.0
6,2021,7,47755.79283202902,299.3554982055633,DE,DELAWARE,0.1469992,7020063.341674
7,2021,8,0.0,0.0,DC,DISTRICT OF COLUMBIA,0.1469992,0.0
8,2021,9,22287.768765354045,124.89490150010847,FL,FLORIDA,0.1469992,3276284.1782920323
9,2021,10,225017.68151147623,1897.031344981851,GA,GEORGIA,0.1469992,33077419.168041795
10,2021,12,0.0,0.0,ID,IDAHO,0.1469992,0.0
11,2021,13,1631323.21042165,22706.1158430693,IL,ILLINOIS,0.1469992,239803206.8734142
12,2021,14,1705439.5525969542,11998.089593355244,IN,INDIANA,0.1469992,250698249.88011017
13,2021,15,8344413.079433629,55291.998885083616,IA,IOWA,0.1469992,1226622047.1462798
14,2021,16,744935.7513669702,8512.476442203368,KS,KANSAS,0.1469992,109504959.50234354
15,2021,17,513735.6873933064,3502.496629111048,KY,KENTUCKY,0.1469992,75518735.05826613
16,2021,18,302000.29076133715,5223.889775045385,LA,LOUISIANA,0.1469992,44393801.14168395
17,2021,19,0.0,0.0,ME,MAINE,0.1469992,0.0
18,2021,20,208471.531837268,1095.995947060632,MD,MARYLAND,0.1469992,30645148.402852926
19,2021,21,0.0,0.0,MA,MASSACHUSETTS,0.1469992,0.0
20,2021,22,64463.399378359485,627.5329474352936,MI,MICHIGAN,0.1469992,9476068.137899341
21,2021,23,5364246.38443418,35411.02455882031,MN,MINNESOTA,0.1469992,788539927.1147169
22,2021,24,864772.9645649666,9549.716376394048,MS,MISSISSIPPI,0.1469992,127120933.97267845
23,2021,25,2118820.1611613594,19144.51236846897,MO,MISSOURI,0.1469992,311464868.63459086
24,2021,26,628526.9635823674,14665.004365724217,MT,MONTANA,0.1469992,92392960.82503714
25,2021,27,1298815.9705867046,20157.35399190864,NE,NEBRASKA,0.1469992,190924908.62346908
26,2021,28,0.0,0.0,NV,NEVADA,0.1469992,0.0
27,2021,29,0.0,0.0,NH,NEW HAMPSHIRE,0.1469992,0.0
28,2021,30,25039.204955293742,122.9476468361779,NJ,NEW JERSEY,0.1469992,3680743.0970642157
29,2021,31,0.0,0.0,NM,NEW MEXICO,0.1469992,0.0
30,2021,32,39.124132290090216,2.5710176079238,NY,NEW YORK,0.1469992,5751.21614733743
31,2021,33,134069.34140316048,3558.890480614132,NC,NORTH CAROLINA,0.1469992,19708085.930791467
32,2021,34,629302.318903124,10830.025358914158,ND,NORTH DAKOTA,0.1469992,92506937.4369041
33,2021,35,3697162.83009134,17752.20713102499,OH,OHIO,0.1469992,543479978.293163
34,2021,36,11214.360790683755,436.2143677354151,OK,OKLAHOMA,0.1469992,1648502.0647418795
35,2021,37,0.0,0.0,OR,OREGON,0.1469992,0.0
36,2021,38,110814.74936434472,512.0396281416272,PA,PENNSYLVANIA,0.1469992,16289679.504759181
37,2021,39,0.0,0.0,RI,RHODE ISLAND,0.1469992,0.0
38,2021,40,53848.327863218816,1210.543016709847,SC,SOUTH CAROLINA,0.1469992,7915661.1172308745
39,2021,41,3618228.6770699713,26587.37051699804,SD,SOUTH DAKOTA,0.1469992,531876720.94634414
