Unnamed: 0,Year,state_id,Production_Loss(ton),Area_Loss(km^2),State_Code,State_Name,Price,Financial_Loss($)
0,2021,0,236284.09591418627,1785.5375072109268,AL,ALABAMA,0.145011,34263793.03261206
1,2021,2,0.0,0.0,AZ,ARIZONA,0.145011,0.0
2,2021,3,317774.2674204488,7558.782184035713,AR,ARKANSAS,0.145011,46080764.29290671
3,2021,4,0.0,0.0,CA,CALIFORNIA,0.145011,0.0
4,2021,5,65753.88103279383,1889.2935902560887,CO,COLORADO,0.145011,9535036.042446466
5,2021,6,0.0,0.0,CT,CONNECTICUT,0.145011,0.0
6,2021,7,95868.38425246412,655.6712654325972,DE,DELAWARE,0.145011,13901970.268834073
7,2021,8,0.0,0.0,DC,DISTRICT OF COLUMBIA,0.145011,0.0
8,2021,9,17307.206973138214,112.69626042881858,FL,FLORIDA,0.145011,2509735.3903817455
9,2021,10,164124.93984933576,1780.2879635192091,GA,GEORGIA,0.145011,23799921.652492028
10,2021,12,0.0,0.0,ID,IDAHO,0.145011,0.0
11,2021,13,4125782.938424199,28823.946582281824,IL,ILLINOIS,0.145011,598283909.6838316
12,2021,14,816649.4095111366,8294.293950576965,IN,INDIANA,0.145011,118423147.52261943
13,2021,15,9298094.367058337,54125.29346063829,IA,IOWA,0.145011,1348325962.2614963
14,2021,16,1242506.9507473125,11437.20687959284,KS,KANSAS,0.145011,180177175.43481854
15,2021,17,201084.6337061585,1831.684016160079,KY,KENTUCKY,0.145011,29159483.81836375
16,2021,18,269035.0181974072,4757.962864530186,LA,LOUISIANA,0.145011,39013037.023824215
17,2021,19,0.0,0.0,ME,MAINE,0.145011,0.0
18,2021,20,270128.4463892044,1220.7156864839326,MD,MARYLAND,0.145011,39171596.13934492
19,2021,21,0.0,0.0,MA,MASSACHUSETTS,0.145011,0.0
20,2021,22,66572.10835790998,1241.0373108818044,MI,MICHIGAN,0.145011,9653688.005088884
21,2021,23,4834870.1507922,36388.3183833634,MN,MINNESOTA,0.145011,701109355.4365277
22,2021,24,1064153.2002683375,10754.40157783667,MS,MISSISSIPPI,0.145011,154313919.72411188
23,2021,25,3106066.672833735,20113.695357618413,MO,MISSOURI,0.145011,450413834.29429275
24,2021,26,610588.264390627,15181.712374276873,MT,MONTANA,0.145011,88542014.80754922
25,2021,27,1526386.418693752,19983.539149811106,NE,NEBRASKA,0.145011,221342820.96119967
26,2021,28,0.0,0.0,NV,NEVADA,0.145011,0.0
27,2021,29,0.0,0.0,NH,NEW HAMPSHIRE,0.145011,0.0
28,2021,30,104862.44543991292,416.5017510312807,NJ,NEW JERSEY,0.145011,15206208.075687211
29,2021,31,0.0,0.0,NM,NEW MEXICO,0.145011,0.0
30,2021,32,627.0232022291796,11.425925564667187,NY,NEW YORK,0.145011,90925.26157845555
31,2021,33,316330.6649924643,4540.934199320895,NC,NORTH CAROLINA,0.145011,45871426.06122224
32,2021,34,457573.5252670735,9142.369113044588,ND,NORTH DAKOTA,0.145011,66353194.47250359
33,2021,35,2158354.467687976,15414.68419272152,OH,OHIO,0.145011,312985139.7139011
34,2021,36,30324.982659902165,1005.1854286830834,OK,OKLAHOMA,0.145011,4397456.060495073
35,2021,37,0.0,0.0,OR,OREGON,0.145011,0.0
36,2021,38,256922.9839785156,1023.8779050407968,PA,PENNSYLVANIA,0.145011,37256658.829708524
37,2021,39,0.0,0.0,RI,RHODE ISLAND,0.145011,0.0
38,2021,40,63056.80984992828,1397.128987328341,SC,SOUTH CAROLINA,0.145011,9143931.05314795
39,2021,41,3076851.098995023,26369.84729159924,SD,SOUTH DAKOTA,0.145011,446177254.71636724
40,2021,42,1057563.0825526258,5776.454081320702,TN,TENNESSEE,0.145011,153358280.1640388
41,2021,43,3063.809711235732,273.23181872269,TX,TEXAS,0.145011,444286.1100360047
42,2021,44,0.0,0.0,UT,UTAH,0.145011,0.0
43,2021,45,0.0,0.0,VT,VERMONT,0.145011,0.0
44,2021,46,174103.3645022692,1106.4763791877433,VA,VIRGINIA,0.145011,25246902.989838555
45,2021,47,0.0,0.0,WA,WASHINGTON,0.145011,0.0
46,2021,48,17935.65703970167,76.6097021716251,WV,WEST VIRGINIA,0.145011,2600867.562984179
47,2021,49,1045611.0157196856,7379.614672434531,WI,WISCONSIN,0.145011,151625099.00052732
48,2021,50,456993.5881544086,18060.793379781186,WY,WYOMING,0.145011,66269097.21185895
49,2022,0,1874.510287675504,49.918328738063664,AL,ALABAMA,0.147626,276726.45572838397
50,2022,2,0.0,0.0,AZ,ARIZONA,0.147626,0.0
51,2022,3,237120.0788103165,5504.575205742058,AR,ARKANSAS,0.147626,35005088.75445179
52,2022,4,0.0,0.0,CA,CALIFORNIA,0.147626,0.0
53,2022,5,45008.56794646328,1292.6944371575305,CO,COLORADO,0.147626,6644434.851664589
