,Year,state_id,Production_Loss(ton),Area_Loss(km^2),State_Code,State_Name
0,2021,0,172640.51221356218,1162.092269297108,AL,ALABAMA
1,2021,2,0.0,0.0,AZ,ARIZONA
2,2021,3,221456.5676628037,3862.3832438733625,AR,ARKANSAS
3,2021,4,0.0,0.0,CA,CALIFORNIA
4,2021,5,119970.59336433154,1825.233009829341,CO,COLORADO
5,2021,6,0.0,0.0,CT,CONNECTICUT
6,2021,7,37849.54415551741,266.8775299739377,DE,DELAWARE
7,2021,8,0.0,0.0,DC,DISTRICT OF COLUMBIA
8,2021,9,11986.470698841598,95.15169310228312,FL,FLORIDA
9,2021,10,113306.32603487848,1238.64413916706,GA,GEORGIA
10,2021,12,0.0,0.0,ID,IDAHO
11,2021,13,2424340.8357837736,19719.001729191936,IL,ILLINOIS
12,2021,14,223261.00702630516,1989.742967221002,IN,INDIANA
13,2021,15,8087837.514764547,53225.58915476385,IA,IOWA
14,2021,16,614774.7121406231,4863.536054925917,KS,KANSAS
15,2021,17,94593.86618875728,637.1939067236747,KY,KENTUCKY
16,2021,18,224921.8046278845,3192.743673238971,LA,LOUISIANA
17,2021,19,0.0,0.0,ME,MAINE
18,2021,20,171075.12657727613,756.7098067378226,MD,MARYLAND
19,2021,21,0.0,0.0,MA,MASSACHUSETTS
20,2021,22,45462.32238724267,746.2055193015565,MI,MICHIGAN
21,2021,23,4033132.9856673023,34781.34638629751,MN,MINNESOTA
22,2021,24,516165.34999237856,5372.582530610551,MS,MISSISSIPPI
23,2021,25,1852605.0654941665,13884.921141469184,MO,MISSOURI
24,2021,26,641755.9205415422,14806.717664822962,MT,MONTANA
25,2021,27,1563708.6751324343,18655.37483995368,NE,NEBRASKA
26,2021,28,0.0,0.0,NV,NEVADA
27,2021,29,0.0,0.0,NH,NEW HAMPSHIRE
28,2021,30,60714.72363705484,243.93788115893545,NJ,NEW JERSEY
29,2021,31,0.0,0.0,NM,NEW MEXICO
30,2021,32,76.93715678892596,5.748603109551195,NY,NEW YORK
31,2021,33,167704.14505808704,2817.768047298191,NC,NORTH CAROLINA
32,2021,34,583816.0773562911,8665.512185997002,ND,NORTH DAKOTA
33,2021,35,1016691.5852130086,6673.427890473277,OH,OHIO
34,2021,36,15820.276083438355,448.3737021934686,OK,OKLAHOMA
35,2021,37,0.0,0.0,OR,OREGON
36,2021,38,119506.0546313094,405.3433483690603,PA,PENNSYLVANIA
37,2021,39,0.0,0.0,RI,RHODE ISLAND
38,2021,40,29777.350126826608,605.3550864047568,SC,SOUTH CAROLINA
39,2021,41,2577869.787658165,26369.84729159924,SD,SOUTH DAKOTA
40,2021,42,491626.90715280257,3012.162339041838,TN,TENNESSEE
41,2021,43,3974.6916360442233,272.6471024185725,TX,TEXAS
42,2021,44,0.0,0.0,UT,UTAH
43,2021,45,0.0,0.0,VT,VERMONT
44,2021,46,96476.71660367982,590.7331752210514,VA,VIRGINIA
45,2021,47,0.0,0.0,WA,WASHINGTON
46,2021,48,15644.6695723079,62.20135336746278,WV,WEST VIRGINIA
47,2021,49,616065.8193455625,6122.992769925326,WI,WISCONSIN
48,2021,50,465415.9322760653,17763.312680693656,WY,WYOMING
49,2022,0,663.4008703904353,5.184500557669759,AL,ALABAMA
50,2022,2,0.0,0.0,AZ,ARIZONA
51,2022,3,172997.3830932201,2992.0499576113134,AR,ARKANSAS
52,2022,4,0.0,0.0,CA,CALIFORNIA
53,2022,5,62974.95000252651,997.1695195208076,CO,COLORADO
54,2022,6,0.0,0.0,CT,CONNECTICUT
55,2022,7,0.0,0.0,DE,DELAWARE
56,2022,8,0.0,0.0,DC,DISTRICT OF COLUMBIA
57,2022,9,0.0,0.0,FL,FLORIDA
58,2022,10,0.0,0.0,GA,GEORGIA
59,2022,12,0.0,0.0,ID,IDAHO
60,2022,13,7068002.175945325,35125.57799551294,IL,ILLINOIS
61,2022,14,7643229.748348145,26230.589975567927,IN,INDIANA
62,2022,15,296953.3031271632,4759.655533045807,IA,IOWA
63,2022,16,14693.853950249711,385.3752230810802,KS,KANSAS
64,2022,17,944492.7657390952,4091.175161377069,KY,KENTUCKY
65,2022,18,43875.82187687559,1493.7201349219145,LA,LOUISIANA
66,2022,19,0.0,0.0,ME,MAINE
67,2022,20,2957.5380338919545,26.66920718110629,MD,MARYLAND
68,2022,21,0.0,0.0,MA,MASSACHUSETTS
69,2022,22,479982.9815794224,2234.971914591926,MI,MICHIGAN
70,2022,23,1099661.386108787,9667.888497588414,MN,MINNESOTA
71,2022,24,83724.05205594742,1180.9015861563958,MS,MISSISSIPPI
72,2022,25,552526.8310516432,4190.246914749738,MO,MISSOURI
73,2022,26,454829.00782297534,10025.138063093327,MT,MONTANA
74,2022,27,10091.17519673696,220.05792143578904,NE,NEBRASKA
75,2022,28,0.0,0.0,NV,NEVADA
76,2022,29,0.0,0.0,NH,NEW HAMPSHIRE
77,2022,30,661.308162530331,8.335489376909859,NJ,NEW JERSEY
78,2022,31,0.0,0.0,NM,NEW MEXICO
79,2022,32,1140.657658378468,7.594783397858331,NY,NEW YORK
80,2022,33,3341.139890635945,115.10914791287634,NC,NORTH CAROLINA
81,2022,34,224273.54801836584,3258.8374016580087,ND,NORTH DAKOTA
82,2022,35,6009084.431957288,19388.536850203574,OH,OHIO
83,2022,36,3569.5007680503604,71.10948869562955,OK,OKLAHOMA
84,2022,37,0.0,0.0,OR,OREGON
85,2022,38,17228.705388625924,186.92333289048557,PA,PENNSYLVANIA
86,2022,39,0.0,0.0,RI,RHODE ISLAND
87,2022,40,0.0,0.0,SC,SOUTH CAROLINA
88,2022,41,601562.2974086185,8914.596300491323,SD,SOUTH DAKOTA
89,2022,42,913201.49529206,4638.995926000993,TN,TENNESSEE
90,2022,43,16551.608073173556,582.5097498555479,TX,TEXAS
91,2022,44,0.0,0.0,UT,UTAH
92,2022,45,0.0,0.0,VT,VERMONT
93,2022,46,604.2473313775304,17.803797009271353,VA,VIRGINIA
94,2022,47,0.0,0.0,WA,WASHINGTON
95,2022,48,7305.238180483693,28.5175485568646,WV,WEST VIRGINIA
96,2022,49,96444.67856545172,1114.1083382014413,WI,WISCONSIN
97,2022,50,195362.03551213013,8080.873073954891,WY,WYOMING
98,2023,0,4000.322212633958,25.9213033828832,AL,ALABAMA
99,2023,2,0.0,0.0,AZ,ARIZONA
100,2023,3,12418.196915117249,192.46261503309705,AR,ARKANSAS
101,2023,4,0.0,0.0,CA,CALIFORNIA
102,2023,5,30127.388874852677,570.7868096002551,CO,COLORADO
103,2023,6,0.0,0.0,CT,CONNECTICUT
104,2023,7,2832.5161207895426,24.05658750455871,DE,DELAWARE
105,2023,8,0.0,0.0,DC,DISTRICT OF COLUMBIA
106,2023,9,0.0,0.0,FL,FLORIDA
107,2023,10,11901.915843070758,82.85530092431554,GA,GEORGIA
108,2023,12,0.0,0.0,ID,IDAHO
109,2023,13,4587217.871528598,28862.22211891825,IL,ILLINOIS
110,2023,14,5664717.88053604,25947.283346874778,IN,INDIANA
111,2023,15,386834.48693278286,2904.006265507475,IA,IOWA
112,2023,16,54431.95215184208,557.601341324591,KS,KANSAS
113,2023,17,34325.60736577699,382.3957538163796,KY,KENTUCKY
114,2023,18,169.20594620557182,2.8875192597259267,LA,LOUISIANA
115,2023,19,0.0,0.0,ME,MAINE
116,2023,20,6069.847247726792,69.01974783521285,MD,MARYLAND
117,2023,21,0.0,0.0,MA,MASSACHUSETTS
118,2023,22,486290.2240922398,1965.3866173286544,MI,MICHIGAN
119,2023,23,877643.8908078235,6486.202259139799,MN,MINNESOTA
120,2023,24,0.0,0.0,MS,MISSISSIPPI
121,2023,25,631951.7849939239,10825.659787355462,MO,MISSOURI
122,2023,26,310240.7228079202,6947.11950637242,MT,MONTANA
123,2023,27,170600.84009186144,3256.363128239669,NE,NEBRASKA
124,2023,28,0.0,0.0,NV,NEVADA
125,2023,29,0.0,0.0,NH,NEW HAMPSHIRE
126,2023,30,2011.1037875970812,11.264615748049636,NJ,NEW JERSEY
127,2023,31,0.0,0.0,NM,NEW MEXICO
128,2023,32,0.0,0.0,NY,NEW YORK
129,2023,33,388535.3903911032,1978.0486794243493,NC,NORTH CAROLINA
130,2023,34,296728.5587518944,3777.842100885892,ND,NORTH DAKOTA
131,2023,35,6468518.463897898,22640.018293471752,OH,OHIO
132,2023,36,8891.78595714621,188.40086928560768,OK,OKLAHOMA
133,2023,37,0.0,0.0,OR,OREGON
134,2023,38,5078.987091679264,19.059491242419284,PA,PENNSYLVANIA
135,2023,39,0.0,0.0,RI,RHODE ISLAND
136,2023,40,214126.84511932533,1334.438488797756,SC,SOUTH CAROLINA
137,2023,41,1245442.9439737045,12614.029083748788,SD,SOUTH DAKOTA
138,2023,42,14690.629087923448,87.64385417785746,TN,TENNESSEE
139,2023,43,16588.455044843377,591.9398882339124,TX,TEXAS
140,2023,44,0.0,0.0,UT,UTAH
141,2023,45,0.0,0.0,VT,VERMONT
142,2023,46,66689.92447891353,380.4010270492588,VA,VIRGINIA
143,2023,47,0.0,0.0,WA,WASHINGTON
144,2023,48,0.0,0.0,WV,WEST VIRGINIA
145,2023,49,391644.7100282843,2094.5390591058576,WI,WISCONSIN
146,2023,50,378798.04660147504,15476.469606483064,WY,WYOMING
147,2024,0,612.049134021576,34.04138902921667,AL,ALABAMA
148,2024,2,0.0,0.0,AZ,ARIZONA
149,2024,3,68740.95451584127,1201.8107191224308,AR,ARKANSAS
150,2024,4,0.0,0.0,CA,CALIFORNIA
151,2024,5,43779.76157955252,665.9608532593809,CO,COLORADO
152,2024,6,0.0,0.0,CT,CONNECTICUT
153,2024,7,16825.559671463252,154.15120554827666,DE,DELAWARE
154,2024,8,0.0,0.0,DC,DISTRICT OF COLUMBIA
155,2024,9,0.0,0.0,FL,FLORIDA
156,2024,10,0.0,0.0,GA,GEORGIA
157,2024,12,0.0,0.0,ID,IDAHO
158,2024,13,3884407.853355944,17272.676836921986,IL,ILLINOIS
159,2024,14,3189209.2234350485,11092.354367580396,IN,INDIANA
160,2024,15,158061.21246290064,1183.6570076847004,IA,IOWA
161,2024,16,498494.5426040444,4536.212181689523,KS,KANSAS
162,2024,17,228860.96910074493,1027.863438546645,KY,KENTUCKY
163,2024,18,93800.4697760895,1833.7877499256822,LA,LOUISIANA
164,2024,19,0.0,0.0,ME,MAINE
165,2024,20,30155.309661629428,146.17769919177027,MD,MARYLAND
166,2024,21,0.0,0.0,MA,MASSACHUSETTS
167,2024,22,361078.4715476624,1724.6858655553265,MI,MICHIGAN
168,2024,23,753879.2496129487,5700.153459319647,MN,MINNESOTA
169,2024,24,85553.92257587891,1470.421414805524,MS,MISSISSIPPI
170,2024,25,567340.6434213703,4037.510083114904,MO,MISSOURI
171,2024,26,609475.6536500831,15314.794946869672,MT,MONTANA
172,2024,27,255730.0604965457,4836.898302481685,NE,NEBRASKA
173,2024,28,0.0,0.0,NV,NEVADA
174,2024,29,0.0,0.0,NH,NEW HAMPSHIRE
175,2024,30,10328.72920813269,36.460104527568646,NJ,NEW JERSEY
176,2024,31,0.0,0.0,NM,NEW MEXICO
177,2024,32,1111.0752311524272,5.293419434272408,NY,NEW YORK
178,2024,33,3023.6574799211894,72.19329665329563,NC,NORTH CAROLINA
179,2024,34,248709.93353831928,3190.449141059536,ND,NORTH DAKOTA
180,2024,35,2746569.300932644,10720.527276813653,OH,OHIO
181,2024,36,80168.6347651359,1595.0180695173858,OK,OKLAHOMA
182,2024,37,0.0,0.0,OR,OREGON
183,2024,38,4523.610617077453,13.20791246711644,PA,PENNSYLVANIA
184,2024,39,0.0,0.0,RI,RHODE ISLAND
185,2024,40,433.28613713710143,9.339701276559577,SC,SOUTH CAROLINA
186,2024,41,679406.3595747962,7597.594701027635,SD,SOUTH DAKOTA
187,2024,42,183899.98218749615,1146.3786601073905,TN,TENNESSEE
188,2024,43,43618.44039748804,1588.1447628944418,TX,TEXAS
189,2024,44,0.0,0.0,UT,UTAH
190,2024,45,0.0,0.0,VT,VERMONT
191,2024,46,12653.329529284983,49.2202484272747,VA,VIRGINIA
192,2024,47,0.0,0.0,WA,WASHINGTON
193,2024,48,0.0,0.0,WV,WEST VIRGINIA
194,2024,49,760021.4812045792,4113.890618672662,WI,WISCONSIN
195,2024,50,455397.8122802549,19206.51447530603,WY,WYOMING
196,2025,0,2431.839236128382,65.93980921768916,AL,ALABAMA
197,2025,2,0.0,0.0,AZ,ARIZONA
198,2025,3,112659.91604434465,1685.005409565172,AR,ARKANSAS
199,2025,4,0.0,0.0,CA,CALIFORNIA
200,2025,5,118961.9272507345,1833.1928092535525,CO,COLORADO
201,2025,6,0.0,0.0,CT,CONNECTICUT
202,2025,7,121265.75815728823,544.6114585759635,DE,DELAWARE
203,2025,8,0.0,0.0,DC,DISTRICT OF COLUMBIA
204,2025,9,74.22926085151884,2.1817425451197607,FL,FLORIDA
205,2025,10,773.5451728769509,84.85418117832809,GA,GEORGIA
206,2025,12,0.0,0.0,ID,IDAHO
207,2025,13,1313513.2550680365,7971.809539253326,IL,ILLINOIS
208,2025,14,1522477.1077364958,11502.3384039373,IN,INDIANA
209,2025,15,1965990.334388332,13934.662812096416,IA,IOWA
210,2025,16,366884.85858209705,3595.4267050437247,KS,KANSAS
211,2025,17,95477.87694520038,407.7670752447159,KY,KENTUCKY
212,2025,18,257178.0251945902,3674.498291430914,LA,LOUISIANA
213,2025,19,0.0,0.0,ME,MAINE
214,2025,20,300402.7175342995,1157.7035857762792,MD,MARYLAND
215,2025,21,0.0,0.0,MA,MASSACHUSETTS
216,2025,22,330717.5607772909,2255.0861625224534,MI,MICHIGAN
217,2025,23,419028.6732430627,4180.564871559483,MN,MINNESOTA
218,2025,24,136867.6834192252,1643.2326059722463,MS,MISSISSIPPI
