region_id,region_name,crop,scenario,year,area_in_drought(% of planted)
1,Northeast,corn,hist,1981,0.997129449
1,Northeast,corn,hist,1982,0.471046428
1,Northeast,corn,hist,1983,0.561409743
1,Northeast,corn,hist,1984,0.146943335
1,Northeast,corn,hist,1985,2.12885815
1,Northeast,corn,hist,1986,1.236266421
1,Northeast,corn,hist,1987,1.688776499
1,Northeast,corn,hist,1988,2.877197832
1,Northeast,corn,hist,1989,0.114189584
1,Northeast,corn,hist,1990,0.26600474
1,Northeast,corn,hist,1991,4.170821964
1,Northeast,corn,hist,1992,0.484378054
1,Northeast,corn,hist,1993,1.717151638
1,Northeast,corn,hist,1994,0.328627718
1,Northeast,corn,hist,1995,2.277471611
1,Northeast,corn,hist,1996,0.010682168
1,Northeast,corn,hist,1997,1.464381383
1,Northeast,corn,hist,1998,0.753340372
1,Northeast,corn,hist,1999,4.474440482
1,Northeast,corn,hist,2000,0.141978148
1,Northeast,corn,hist,2001,2.452831877
1,Northeast,corn,hist,2002,3.614446176
1,Northeast,corn,hist,2003,0.089143395
1,Northeast,corn,hist,2004,0.057955946
1,Northeast,corn,hist,2005,1.253480736
1,Northeast,corn,hist,2006,1.015145803
1,Northeast,corn,hist,2007,2.449226208
1,Northeast,corn,hist,2008,0.720390684
1,Northeast,corn,hist,2009,0.15311168
1,Northeast,corn,hist,2010,3.638723394
1,Northeast,corn,hist,2011,0.111179114
1,Northeast,corn,hist,2012,4.194659972
1,Northeast,corn,hist,2013,0.117278146
1,Northeast,corn,hist,2014,0.115330507
1,Northeast,corn,hist,2015,0.850665992
2,Southeast,corn,hist,1981,3.776678818
2,Southeast,corn,hist,1982,0.715120755
2,Southeast,corn,hist,1983,0.13012373
2,Southeast,corn,hist,1984,0.280426859
2,Southeast,corn,hist,1985,2.353349051
2,Southeast,corn,hist,1986,5.374868428
2,Southeast,corn,hist,1987,1.881461628
2,Southeast,corn,hist,1988,5.487302161
2,Southeast,corn,hist,1989,0.457702701
2,Southeast,corn,hist,1990,2.255404264
2,Southeast,corn,hist,1991,0.479972209
2,Southeast,corn,hist,1992,0.893030162
2,Southeast,corn,hist,1993,1.0664311
2,Southeast,corn,hist,1994,0.784091854
2,Southeast,corn,hist,1995,1.612870711
2,Southeast,corn,hist,1996,1.216287631
2,Southeast,corn,hist,1997,0.487305507
2,Southeast,corn,hist,1998,0.758324692
2,Southeast,corn,hist,1999,2.673175232
2,Southeast,corn,hist,2000,3.120463536
2,Southeast,corn,hist,2001,4.29484572
2,Southeast,corn,hist,2002,3.450710477
2,Southeast,corn,hist,2003,0.395040455
2,Southeast,corn,hist,2004,1.572617567
2,Southeast,corn,hist,2005,1.025347801
2,Southeast,corn,hist,2006,6.211013299
2,Southeast,corn,hist,2007,6.727662225
2,Southeast,corn,hist,2008,3.051111782
2,Southeast,corn,hist,2009,0.642735289
2,Southeast,corn,hist,2010,2.269495242
2,Southeast,corn,hist,2011,5.594234723
2,Southeast,corn,hist,2012,5.690965486
2,Southeast,corn,hist,2013,0.383439812
2,Southeast,corn,hist,2014,0.212227062
2,Southeast,corn,hist,2015,0.899481723
4,Midwest,corn,hist,1981,42.89087247
