Year,state_id,Production_Loss(ton),Area_Loss(km^2),State_Code,State_Name,Price,Financial_Loss($)
2021,0,3452.144250192966,83.67229267659513,AL,ALABAMA,0.07901176,272759.9929816266
2021,2,0.0,0.0,AZ,ARIZONA,0.07901176,0.0
2021,3,44908.84502174602,679.1165702631116,AR,ARKANSAS,0.07901176,3548326.884735391
2021,4,3191.9266264340145,168.49929703928458,CA,CALIFORNIA,0.07901176,252199.740545414
2021,5,672282.3538113126,12515.765604611912,CO,COLORADO,0.07901176,53118211.99157451
2021,6,0.0,0.0,CT,CONNECTICUT,0.07901176,0.0
2021,7,838.167382212732,15.630937117144711,DE,DELAWARE,0.07901176,66225.08004322065
2021,8,0.0,0.0,DC,DISTRICT OF COLUMBIA,0.07901176,0.0
2021,9,1233.04815226949,10.252540906305637,FL,FLORIDA,0.07901176,97425.3046755604
2021,10,19456.37685083512,324.8787404145196,GA,GEORGIA,0.07901176,1537282.5782077406
2021,12,104542.1976266639,3221.0338827166,ID,IDAHO,0.07901176,8260063.028750537
2021,13,170510.09379320475,2131.621389861033,IL,ILLINOIS,0.07901176,13472302.608366184
2021,14,27907.82497107896,747.6110435534398,IN,INDIANA,0.07901176,2205046.368736898
2021,15,749.8019481234431,5.39148615526807,IA,IOWA,0.07901176,59243.171572661944
2021,16,6851344.825977929,35698.7054938638,KS,KANSAS,0.07901176,541336813.0674099
2021,17,10089.525992306586,330.9714507904514,KY,KENTUCKY,0.07901176,797191.2062178899
2021,18,10816.21772179902,213.81985701033656,LA,LOUISIANA,0.07901176,854608.398742531
2021,19,0.0,0.0,ME,MAINE,0.07901176,0.0
2021,20,5468.207936302926,147.36993765405822,MD,MARYLAND,0.07901176,432052.7330932621
2021,21,0.0,0.0,MA,MASSACHUSETTS,0.07901176,0.0
2021,22,4906.883517949344,15.660198495729077,MI,MICHIGAN,0.07901176,387701.50286816934
2021,23,781697.0958488322,4388.709761787996,MN,MINNESOTA,0.07901176,61763263.32990492
2021,24,8864.428700616889,116.75914919676524,MS,MISSISSIPPI,0.07901176,700394.1130302534
2021,25,143574.05878525967,1210.953384590041,MO,MISSOURI,0.07901176,11344039.074966827
2021,26,5944396.893511283,34617.7756840467,MT,MONTANA,0.07901176,469677260.694859
2021,27,1461379.017426069,7960.915134652878,NE,NEBRASKA,0.07901176,115466128.19390437
2021,28,7538.011358949246,1184.2174482211983,NV,NEVADA,0.07901176,595591.5443705716
2021,29,0.0,0.0,NH,NEW HAMPSHIRE,0.07901176,0.0
2021,30,649.0564414290316,9.218872942667398,NJ,NEW JERSEY,0.07901176,51283.091776644695
2021,31,46752.6930346688,904.6029840205414,NM,NEW MEXICO,0.07901176,3694012.561408923
2021,32,0.0,0.0,NY,NEW YORK,0.07901176,0.0
2021,33,25243.79695276284,631.3275513395863,NC,NORTH CAROLINA,0.07901176,1994556.826320429
2021,34,11329940.40993462,40079.44803860015,ND,NORTH DAKOTA,0.07901176,895198532.4840558
2021,35,87301.00554207756,1573.911555852609,OH,OHIO,0.07901176,6897806.097649301
2021,36,1507615.3002025308,9405.95987545428,OK,OKLAHOMA,0.07901176,119119338.27193032
2021,37,1494208.269307681,7820.389049018596,OR,OREGON,0.07901176,118060025.16455385
2021,38,1969.9777083970305,78.74624710048272,PA,PENNSYLVANIA,0.07901176,155651.40590121617
2021,39,0.0,0.0,RI,RHODE ISLAND,0.07901176,0.0
2021,40,23152.10769209248,584.3505710743802,SC,SOUTH CAROLINA,0.07901176,1829288.7764617647
2021,41,3302085.591010961,18440.25293907765,SD,SOUTH DAKOTA,0.07901176,260903594.2164162
2021,42,14472.65459979776,182.10350214880972,TN,TENNESSEE,0.07901176,1143509.9118021165
2021,43,1783741.0984524484,9658.50044570908,TX,TEXAS,0.07901176,140936523.57306123
2021,44,14529.992301897466,1869.9636905109344,UT,UTAH,0.07901176,1148040.2645593702
2021,45,0.0,0.0,VT,VERMONT,0.07901176,0.0
2021,46,8127.984061689704,212.0637641866674,VA,VIRGINIA,0.07901176,642206.325966052
2021,47,1364107.1239587353,13247.399159791948,WA,WASHINGTON,0.07901176,107780504.69251783
2021,48,497.562875905808,19.74507769016213,WV,WEST VIRGINIA,0.07901176,39313.31853597949
2021,49,53468.75559971531,238.08695596479237,WI,WISCONSIN,0.07901176,4224660.484943362
2021,50,131393.79892789182,1622.5786973416402,WY,WYOMING,0.07901176,10381655.306378845
2022,0,2677.6242324001323,26.073760046228717,AL,ALABAMA,0.07928652,212299.50725467774
2022,2,0.0,0.0,AZ,ARIZONA,0.07928652,0.0
2022,3,163356.9526368972,1320.8401520653258,AR,ARKANSAS,0.07928652,12952004.292384401
2022,4,1831.9361491941709,101.6515756462887,CA,CALIFORNIA,0.07928652,145247.84213180662
2022,5,425548.2506121084,11028.412274431124,CO,COLORADO,0.07928652,33740239.883121945
2022,6,0.0,0.0,CT,CONNECTICUT,0.07928652,0.0
2022,7,0.0,0.0,DE,DELAWARE,0.07928652,0.0
2022,8,0.0,0.0,DC,DISTRICT OF COLUMBIA,0.07928652,0.0
2022,9,0.0,0.0,FL,FLORIDA,0.07928652,0.0
2022,10,945.5717816125692,18.278088618921718,GA,GEORGIA,0.07928652,74971.0959742606
2022,12,70085.86856951262,2810.7477838651216,ID,IDAHO,0.07928652,5556864.620054034
2022,13,55441.335517751264,779.8541344659541,IL,ILLINOIS,0.07928652,4395750.557354895
2022,14,1989.577248803062,30.80117028445583,IN,INDIANA,0.07928652,157746.65632876896
2022,15,335.14919197864106,2.025501243744319,IA,IOWA,0.07928652,26572.81311279836
2022,16,3110225.523135827,13851.394967717351,KS,KANSAS,0.07928652,246598958.14461923
2022,17,2266.8343007240373,143.43119389722838,KY,KENTUCKY,0.07928652,179729.40312104241
2022,18,97859.15390205132,639.2092521027388,LA,LOUISIANA,0.07928652,7758911.76303807
2022,19,0.0,0.0,ME,MAINE,0.07928652,0.0
2022,20,8.905387754492846,0.5391550214616779,MD,MARYLAND,0.07928652,706.0772043043521
2022,21,0.0,0.0,MA,MASSACHUSETTS,0.07928652,0.0
2022,22,20015.347153290462,76.59968580771307,MI,MICHIGAN,0.07928652,1586947.2223763072
2022,23,219018.00018355055,806.6986308404594,MN,MINNESOTA,0.07928652,17365175.051913086
2022,24,24195.865733265942,196.37293790612927,MS,MISSISSIPPI,0.07928652,1918405.992377905
2022,25,1090.032405816478,19.13001914340669,MO,MISSOURI,0.07928652,86424.87614441631
2022,26,1719471.98650344,15050.022595899649,MT,MONTANA,0.07928652,136330950.0473447
2022,27,534422.5646734776,2984.63839599224,NE,NEBRASKA,0.07928652,42372505.36243497
2022,28,4580.228255015927,719.5513455927804,NV,NEVADA,0.07928652,363150.35914588545
2022,29,0.0,0.0,NH,NEW HAMPSHIRE,0.07928652,0.0
2022,30,4.256526665301782,0.3382184492037952,NJ,NEW JERSEY,0.07928652,337.485186578983
2022,31,26653.43895055725,767.4092773662504,NM,NEW MEXICO,0.07928652,2113258.4204221363
2022,32,0.0,0.0,NY,NEW YORK,0.07928652,0.0
2022,33,8779.116731241576,106.37225523442592,NC,NORTH CAROLINA,0.07928652,696065.6142939199
2022,34,3045028.732430108,11510.746122607974,ND,NORTH DAKOTA,0.07928652,241429731.49439442
