Year,state_id,Production_Loss(ton),Area_Loss(km^2),State_Code,State_Name
2021,0,19380.312167635857,131.6554661209847,AL,ALABAMA
2021,2,62.54306646421669,15.354298143120385,AZ,ARIZONA
2021,3,5842.866131920123,336.4597858609699,AR,ARKANSAS
2021,4,876.9579978929623,24.52745316254827,CA,CALIFORNIA
2021,5,43133.466210929866,695.2775014844965,CO,COLORADO
2021,6,0.0,0.0,CT,CONNECTICUT
2021,7,1341.7374291883732,10.807376071988376,DE,DELAWARE
2021,8,648.2072595181951,4.611803829403076,DC,DISTRICT OF COLUMBIA
2021,9,6102.086961793906,30.57778004130499,FL,FLORIDA
2021,10,52402.57823210208,512.757620670312,GA,GEORGIA
2021,12,29913.823579618067,141.44391770692496,ID,IDAHO
2021,13,268063.5250083021,3095.294666601066,IL,ILLINOIS
2021,14,252683.3125715837,1815.4034401295196,IN,INDIANA
2021,15,8163.070297331256,43.043579355958194,IA,IOWA
2021,16,428867.5568007789,4872.530626751184,KS,KANSAS
2021,17,42359.19244402522,694.4606335994731,KY,KENTUCKY
2021,18,6956.71476087825,122.63026406690662,LA,LOUISIANA
2021,19,0.0,0.0,ME,MAINE
2021,20,38161.06160871278,328.646722699703,MD,MARYLAND
2021,21,3782.3733453913765,49.72511009381128,MA,MASSACHUSETTS
2021,22,146039.65194789378,766.0888867516048,MI,MICHIGAN
2021,23,2727492.7484777714,10588.808518426247,MN,MINNESOTA
2021,24,46279.745084598224,629.2115153443217,MS,MISSISSIPPI
2021,25,51165.21974243148,1453.8381615600633,MO,MISSOURI
2021,26,2083584.287126059,9926.394301140834,MT,MONTANA
2021,27,415298.5926371327,2890.786421715256,NE,NEBRASKA
2021,28,631.5345668649362,67.86705380310696,NV,NEVADA
2021,29,0.0,0.0,NH,NEW HAMPSHIRE
2021,30,3781.611522663842,29.792729604140902,NJ,NEW JERSEY
2021,31,912.3478330078883,16.271857570613395,NM,NEW MEXICO
2021,32,25334.280883143278,157.76876460490183,NY,NEW YORK
2021,33,100088.36671688911,1270.9318053228963,NC,NORTH CAROLINA
2021,34,12727518.032914389,51481.268493241456,ND,NORTH DAKOTA
2021,35,134452.7411551144,1668.599321066365,OH,OHIO
2021,36,148228.51367944555,1386.0489922482884,OK,OKLAHOMA
2021,37,57128.31519064652,293.00525597213255,OR,OREGON
2021,38,18414.69317377888,201.5611710644459,PA,PENNSYLVANIA
2021,39,0.0,0.0,RI,RHODE ISLAND
2021,40,21995.39479531512,546.2510124552797,SC,SOUTH CAROLINA
2021,41,2991416.797527627,13930.384756757423,SD,SOUTH DAKOTA
2021,42,133174.89701592125,1481.227927253036,TN,TENNESSEE
2021,43,144099.25500836773,591.8495970425828,TX,TEXAS
2021,44,4488.489250726401,290.0756769954546,UT,UTAH
2021,45,23695.64702933387,281.07157078686157,VT,VERMONT
2021,46,75735.14064415262,998.2551734120889,VA,VIRGINIA
2021,47,192385.85087676265,1558.8437515643457,WA,WASHINGTON
2021,48,3101.717452474665,124.97688281670617,WV,WEST VIRGINIA
2021,49,175219.33082646294,736.0443248297436,WI,WISCONSIN
2021,50,8446.223115549097,77.57039659293261,WY,WYOMING
2022,0,16885.059590710895,104.79179033737341,AL,ALABAMA
2022,2,279.17957138980324,58.46235499107391,AZ,ARIZONA
2022,3,11122.126814849285,83.5820305003362,AR,ARKANSAS
2022,4,1213.366118212657,34.017407685667635,CA,CALIFORNIA
2022,5,76968.55381800214,2251.9964577319865,CO,COLORADO
2022,6,0.0,0.0,CT,CONNECTICUT
2022,7,2052.7475517673183,31.972540494319922,DE,DELAWARE
2022,8,0.0,0.0,DC,DISTRICT OF COLUMBIA
2022,9,401.07867652929076,1.4476901167637608,FL,FLORIDA
2022,10,297.860143311805,2.5788653372713433,GA,GEORGIA
2022,12,8577.399953286222,43.630414858286144,ID,IDAHO
2022,13,39861.396149998116,446.0527784945916,IL,ILLINOIS
2022,14,91370.3407964702,623.1164964873894,IN,INDIANA
2022,15,0.0,0.0,IA,IOWA
2022,16,0.0,0.0,KS,KANSAS
2022,17,55574.6394951035,800.0157036348539,KY,KENTUCKY
2022,18,100513.10715776744,400.226743364386,LA,LOUISIANA
2022,19,813.3750657534626,5.871600202004954,ME,MAINE
2022,20,60.62943305901685,2.2276333742211913,MD,MARYLAND
2022,21,1049.999491267708,13.726595971480261,MA,MASSACHUSETTS
2022,22,153910.30810246654,872.930385720713,MI,MICHIGAN
2022,23,827518.2444621442,2586.815298837004,MN,MINNESOTA
2022,24,213475.62224210706,1007.1496971115275,MS,MISSISSIPPI
2022,25,0.004087596987440595,0.00019254224938772613,MO,MISSOURI
2022,26,108.97719924411126,0.7158289833642295,MT,MONTANA
2022,27,223488.9685201573,1228.4775800208195,NE,NEBRASKA
2022,28,98.00162679931924,10.56182721466804,NV,NEVADA
2022,29,0.0,0.0,NH,NEW HAMPSHIRE
2022,30,196.8653755457321,1.80826679325322,NJ,NEW JERSEY
2022,31,1781.672937857314,95.81606604599051,NM,NEW MEXICO
2022,32,13342.017115148032,82.90954468037049,NY,NEW YORK
2022,33,6886.519902854096,59.891305503654536,NC,NORTH CAROLINA
2022,34,1115318.9362576697,4234.414962883792,ND,NORTH DAKOTA
2022,35,63225.59944580342,534.1448332485468,OH,OHIO
2022,36,0.0,0.0,OK,OKLAHOMA
2022,37,92496.54195341707,618.6168993299285,OR,OREGON
2022,38,3483.7954078140096,31.090494089375426,PA,PENNSYLVANIA
2022,39,0.0,0.0,RI,RHODE ISLAND
