region_id,region_name,crop,scenario,year,drought_intensity
1,Northeast,corn,hist,1981,1.312415851
1,Northeast,corn,hist,1982,1.465362856
1,Northeast,corn,hist,1983,1.29127644
1,Northeast,corn,hist,1984,1.574824286
1,Northeast,corn,hist,1985,1.571688726
1,Northeast,corn,hist,1986,1.379386934
1,Northeast,corn,hist,1987,2.28881356
1,Northeast,corn,hist,1988,1.755720533
1,Northeast,corn,hist,1989,1.618448039
1,Northeast,corn,hist,1990,1.478903778
1,Northeast,corn,hist,1991,2.164771044
1,Northeast,corn,hist,1992,1.262150023
1,Northeast,corn,hist,1993,1.444977311
1,Northeast,corn,hist,1994,1.291345957
1,Northeast,corn,hist,1995,1.842405112
1,Northeast,corn,hist,1996,1.828952512
1,Northeast,corn,hist,1997,1.485515058
1,Northeast,corn,hist,1998,1.676864375
1,Northeast,corn,hist,1999,2.05928703
1,Northeast,corn,hist,2000,1.484190512
1,Northeast,corn,hist,2001,1.524404369
1,Northeast,corn,hist,2002,2.252395188
1,Northeast,corn,hist,2003,1.557327911
1,Northeast,corn,hist,2004,1.147828364
1,Northeast,corn,hist,2005,1.410070943
1,Northeast,corn,hist,2006,1.735454358
1,Northeast,corn,hist,2007,1.515833228
1,Northeast,corn,hist,2008,1.27124051
1,Northeast,corn,hist,2009,1.359862518
1,Northeast,corn,hist,2010,1.888185884
1,Northeast,corn,hist,2011,1.106303107
1,Northeast,corn,hist,2012,1.798312861
1,Northeast,corn,hist,2013,1.292463644
1,Northeast,corn,hist,2014,1.449158654
1,Northeast,corn,hist,2015,1.504461845
2,Southeast,corn,hist,1981,1.790713897
2,Southeast,corn,hist,1982,1.198502077
2,Southeast,corn,hist,1983,1.264154697
2,Southeast,corn,hist,1984,1.192587545
2,Southeast,corn,hist,1985,1.68289025
2,Southeast,corn,hist,1986,1.872582171
2,Southeast,corn,hist,1987,1.40792331
2,Southeast,corn,hist,1988,2.040083973
2,Southeast,corn,hist,1989,1.554250906
2,Southeast,corn,hist,1990,1.807026151
2,Southeast,corn,hist,1991,1.624569521
2,Southeast,corn,hist,1992,1.305979106
2,Southeast,corn,hist,1993,1.423492229
2,Southeast,corn,hist,1994,1.396314862
2,Southeast,corn,hist,1995,1.698434311
2,Southeast,corn,hist,1996,1.347388748
2,Southeast,corn,hist,1997,1.469679874
2,Southeast,corn,hist,1998,1.297709502
2,Southeast,corn,hist,1999,1.625034117
2,Southeast,corn,hist,2000,1.50948889
2,Southeast,corn,hist,2001,1.742586009
2,Southeast,corn,hist,2002,1.922892579
2,Southeast,corn,hist,2003,1.74282351
2,Southeast,corn,hist,2004,1.563791298
2,Southeast,corn,hist,2005,1.471139519
2,Southeast,corn,hist,2006,1.849236059
2,Southeast,corn,hist,2007,2.005478843
2,Southeast,corn,hist,2008,1.52874432
2,Southeast,corn,hist,2009,1.384556019
2,Southeast,corn,hist,2010,1.596887616
2,Southeast,corn,hist,2011,1.964154607
2,Southeast,corn,hist,2012,1.978770168
2,Southeast,corn,hist,2013,1.217452117
2,Southeast,corn,hist,2014,1.355931787
2,Southeast,corn,hist,2015,1.309533542
4,Midwest,corn,hist,1981,1.951045922
4,Midwest,corn,hist,1982,1.753291538
4,Midwest,corn,hist,1983,1.425524272
4,Midwest,corn,hist,1984,1.797546325
4,Midwest,corn,hist,1985,1.284600311
4,Midwest,corn,hist,1986,1.539944031
4,Midwest,corn,hist,1987,1.544298922
4,Midwest,corn,hist,1988,1.998401766
4,Midwest,corn,hist,1989,1.596050738
4,Midwest,corn,hist,1990,1.586969247
4,Midwest,corn,hist,1991,1.65272441
4,Midwest,corn,hist,1992,1.405683091
4,Midwest,corn,hist,1993,1.405907867
4,Midwest,corn,hist,1994,1.384409733
4,Midwest,corn,hist,1995,1.293344046
4,Midwest,corn,hist,1996,1.63002453
4,Midwest,corn,hist,1997,1.593959378
4,Midwest,corn,hist,1998,1.61942998
4,Midwest,corn,hist,1999,1.568493364
4,Midwest,corn,hist,2000,1.874716058
4,Midwest,corn,hist,2001,1.505880808
4,Midwest,corn,hist,2002,1.470461869
4,Midwest,corn,hist,2003,2.027317521
4,Midwest,corn,hist,2004,1.523547573
4,Midwest,corn,hist,2005,1.486306895
4,Midwest,corn,hist,2006,1.640604892
4,Midwest,corn,hist,2007,1.396759836
4,Midwest,corn,hist,2008,1.377548028
4,Midwest,corn,hist,2009,1.346135968
4,Midwest,corn,hist,2010,1.64137079
4,Midwest,corn,hist,2011,1.395074084
4,Midwest,corn,hist,2012,2.138539501
4,Midwest,corn,hist,2013,1.918869144
4,Midwest,corn,hist,2014,1.425296631
4,Midwest,corn,hist,2015,1.585129479
5,N. Great Plains,corn,hist,1981,2.147434559
5,N. Great Plains,corn,hist,1982,1.373427855
5,N. Great Plains,corn,hist,1983,1.254701116
5,N. Great Plains,corn,hist,1984,1.583485087
5,N. Great Plains,corn,hist,1985,1.205046974
5,N. Great Plains,corn,hist,1986,1.35982695
5,N. Great Plains,corn,hist,1987,1.336643403
5,N. Great Plains,corn,hist,1988,1.917892246
5,N. Great Plains,corn,hist,1989,1.586995963
5,N. Great Plains,corn,hist,1990,1.47115444
5,N. Great Plains,corn,hist,1991,1.272421214
5,N. Great Plains,corn,hist,1992,1.357243846
5,N. Great Plains,corn,hist,1993,1.214113996
5,N. Great Plains,corn,hist,1994,1.420448013
5,N. Great Plains,corn,hist,1995,1.04627376
5,N. Great Plains,corn,hist,1996,1.400041324
5,N. Great Plains,corn,hist,1997,1.345873322
5,N. Great Plains,corn,hist,1998,1.458908615
5,N. Great Plains,corn,hist,1999,1.390779845
5,N. Great Plains,corn,hist,2000,2.022320423
5,N. Great Plains,corn,hist,2001,1.218516371
5,N. Great Plains,corn,hist,2002,1.807232946
5,N. Great Plains,corn,hist,2003,2.25868614
5,N. Great Plains,corn,hist,2004,1.91856489
5,N. Great Plains,corn,hist,2005,1.490547806
5,N. Great Plains,corn,hist,2006,1.810735175
5,N. Great Plains,corn,hist,2007,1.513664156
5,N. Great Plains,corn,hist,2008,1.363816993
5,N. Great Plains,corn,hist,2009,1.255002634
5,N. Great Plains,corn,hist,2010,1.473810125
5,N. Great Plains,corn,hist,2011,1.391575728
5,N. Great Plains,corn,hist,2012,1.833434438
5,N. Great Plains,corn,hist,2013,1.607499775
5,N. Great Plains,corn,hist,2014,1.69684959
5,N. Great Plains,corn,hist,2015,1.680256526
6,S. Great Plains,corn,hist,1981,1.511394598
6,S. Great Plains,corn,hist,1982,1.252219037
6,S. Great Plains,corn,hist,1983,1.385984765
6,S. Great Plains,corn,hist,1984,1.41633355
6,S. Great Plains,corn,hist,1985,1.307773219
6,S. Great Plains,corn,hist,1986,1.48985761
6,S. Great Plains,corn,hist,1987,1.419061138
6,S. Great Plains,corn,hist,1988,1.480578543
6,S. Great Plains,corn,hist,1989,2.050124579
6,S. Great Plains,corn,hist,1990,1.872301134
6,S. Great Plains,corn,hist,1991,1.63869553
6,S. Great Plains,corn,hist,1992,1.665998819
6,S. Great Plains,corn,hist,1993,1.752035183
6,S. Great Plains,corn,hist,1994,1.634297798
6,S. Great Plains,corn,hist,1995,1.459166107
6,S. Great Plains,corn,hist,1996,1.717003794
6,S. Great Plains,corn,hist,1997,1.357894262
6,S. Great Plains,corn,hist,1998,1.401846879
6,S. Great Plains,corn,hist,1999,1.710658777
6,S. Great Plains,corn,hist,2000,1.919717192
6,S. Great Plains,corn,hist,2001,1.418327272
6,S. Great Plains,corn,hist,2002,1.919044027
6,S. Great Plains,corn,hist,2003,1.721484127
6,S. Great Plains,corn,hist,2004,1.72563375
6,S. Great Plains,corn,hist,2005,1.484131072
6,S. Great Plains,corn,hist,2006,1.966028384
6,S. Great Plains,corn,hist,2007,1.486220447
6,S. Great Plains,corn,hist,2008,1.734202464
6,S. Great Plains,corn,hist,2009,1.904601459
6,S. Great Plains,corn,hist,2010,1.576959749
6,S. Great Plains,corn,hist,2011,2.00177538
6,S. Great Plains,corn,hist,2012,2.065804963
6,S. Great Plains,corn,hist,2013,1.748507931
6,S. Great Plains,corn,hist,2014,1.683677436
6,S. Great Plains,corn,hist,2015,1.933450392
